sha,author,message
b8ae580eadb145ddda172f7dca2133e713ef30ac,JoaoFelipe,"Fix some program slicing issues #78, #61"
05103aaddfd55dda485064691c83e2498abe815e,leomurta,"Update README.md

Adding instruction about how to upgrade noWorkflow"
a9085c665bdf5005e69462be6b949fca4222d155,JoaoFelipe,Support await and async from Python 3.5
8dc57f6f6cebc205a51a8d459e54c948ace4e442,JoaoFelipe,Lint utils and vis
a6f6205e995ecd1833e00a73a553e9e9da59b30f,JoaoFelipe,Lint ipython
5ab73f6d2b75254569d67c28478e31e0b847dc78,JoaoFelipe,Lint collection
ae8150a8a0ddf7fb6ec8d49a1f2c32eb9c76163f,JoaoFelipe,Lint cmd
0e8a5cb7d3a496da8e9a37d97f6538311febc3ce,JoaoFelipe,Lint persistence
2cdc68d8ce3ea505d650767269eba3af038ffba8,JoaoFelipe,Refactor models to join Model and Proxy class and create Prolog description
3a5e8034de1686028caa2a5fb0970d46e32b0f2a,JoaoFelipe,"Merge branch 'master' into sql_alchemy

Conflicts:
	capture/noworkflow/now/cmd/cmd_list.py
	capture/noworkflow/now/cmd/cmd_run.py
	capture/noworkflow/now/models/trial_prolog.py
	capture/noworkflow/now/persistence/models/graphs/structures.py
	capture/noworkflow/now/utils/__init__.py
	capture/noworkflow/now/utils/consts.py
	capture/noworkflow/now/utils/functions.py
	capture/setup.py"
3d0d8540b3e5fe2de6ef3c60c33a68d173edb89f,JoaoFelipe,Use native_decode_source from PyPosAST. Merge master
98f6bd583a939a471bb29ebc580af7a95b1bb2da,JoaoFelipe,Lint
226fcf31bbeac47dee4a82f4a6be82a373548698,JoaoFelipe,Fix tests. Remove old code
5c7425808bdd687b6eac16d37785f8eae47c3991,JoaoFelipe,#72: Python 3.5 support
c91319463ccdb65a11115f6300f4a45f4644c1e1,JoaoFelipe,Show noWorkflow version
d179393cf59045b58dc1775fdd5e29bbb5f60f67,JoaoFelipe,Simplifying proxy. Both Python 2.7 and 3.4 are working
d0774004e6de4e673c0dc9c2d39b3edf55c3f9d2,JoaoFelipe,Reorganize packages. Python 2 seems to be working
c6201b1cfdd45ea5aa0b35bed0046810638444a6,JoaoFelipe,Store definition and deployment provenance with sqlalchemy
1f18bdcb7286b27b5e20eeb2d495e2d9022c020e,JoaoFelipe,Store execution provenance with sqlalchemy
80b185630f5a5998b93805e056f1548ea5086fde,JoaoFelipe,Merge branch 'master' of https://github.com/gems-uff/noworkflow
851d05fee743c725eb2ea968b697510af2513698,braganholo,Including link to videos on the readme file
2664132d5743658e749face092324fccc24a2181,JoaoFelipe,Now vis
9df730e181684735711a756b813f616d9ee0c997,JoaoFelipe,Show duration on list
ad51786dcdd754a5697786ee5c2700fef86d2dd6,JoaoFelipe,Starting to refactor persistence
4626f0749c322ab26d11a7c3fb2d275f9872978d,JoaoFelipe,IPython SQLAlchemy
d94db37f0c1a514027e7c79aebfad912eea80085,JoaoFelipe,SQLALchemy Proxy Models
b156e447eb40431a62ecef443bdc4a971d13a4c7,JoaoFelipe,Trial queries
6604292cf4e2b2f7a0354edbf9b8501ba067da65,JoaoFelipe,Update history model and graph
0eab123ef57d272778ca349501fae40d53dd262e,JoaoFelipe,SQLAlchemy models
c66dfa865ba495da0f0625983996e492be8209bb,JoaoFelipe,Add sleep to simulation. Version 0.15.3
da46bf49b4d051e2c1adee1e2e4699a2861efe51,JoaoFelipe,Fix format for datetime without miliseconds
65e28f54491635da8cdfb382c37077c3a44bb7ef,JoaoFelipe,Version 0.15.1
7ab69c8ebbe7e9b404a7d5b6d78fad02e8eab9c8,JoaoFelipe,#71: fix demo. Version  0.15.1
77252be98bf5a6f32caacf0b87d87d775c1c685e,JoaoFelipe,SQLAlchemy models
