author,total,Start of the Week,Deletions,Additions,Commits
benmarwick,1,2015-08-15 21:00:00,0,0,0
benmarwick,1,2015-08-22 21:00:00,0,0,0
benmarwick,1,2015-08-29 21:00:00,0,0,0
benmarwick,1,2015-09-05 21:00:00,0,0,0
benmarwick,1,2015-09-12 21:00:00,0,0,0
benmarwick,1,2015-09-19 21:00:00,0,0,0
benmarwick,1,2015-09-26 21:00:00,0,0,0
benmarwick,1,2015-10-03 21:00:00,0,0,0
benmarwick,1,2015-10-10 21:00:00,0,0,0
benmarwick,1,2015-10-17 21:00:00,0,0,0
benmarwick,1,2015-10-24 22:00:00,0,0,0
benmarwick,1,2015-10-31 22:00:00,0,0,0
benmarwick,1,2015-11-07 22:00:00,0,0,0
benmarwick,1,2015-11-14 22:00:00,0,0,0
benmarwick,1,2015-11-21 22:00:00,0,0,0
benmarwick,1,2015-11-28 22:00:00,0,0,0
benmarwick,1,2015-12-05 22:00:00,0,0,0
benmarwick,1,2015-12-12 22:00:00,0,0,0
benmarwick,1,2015-12-19 22:00:00,0,0,0
benmarwick,1,2015-12-26 22:00:00,0,0,0
benmarwick,1,2016-01-02 22:00:00,0,0,0
benmarwick,1,2016-01-09 22:00:00,0,0,0
benmarwick,1,2016-01-16 22:00:00,0,0,0
benmarwick,1,2016-01-23 22:00:00,0,0,0
benmarwick,1,2016-01-30 22:00:00,0,0,0
benmarwick,1,2016-02-06 22:00:00,0,0,0
benmarwick,1,2016-02-13 22:00:00,0,0,0
benmarwick,1,2016-02-20 22:00:00,0,0,0
benmarwick,1,2016-02-27 21:00:00,0,0,0
benmarwick,1,2016-03-05 21:00:00,0,0,0
benmarwick,1,2016-03-12 21:00:00,0,0,0
benmarwick,1,2016-03-19 21:00:00,0,0,0
benmarwick,1,2016-03-26 21:00:00,0,0,0
remram44,1,2013-08-31 21:00:00,0,0,0
remram44,1,2013-09-07 21:00:00,0,0,0
remram44,1,2013-09-14 21:00:00,0,0,0
remram44,1,2013-09-21 21:00:00,0,0,0
remram44,1,2013-09-28 21:00:00,0,0,0
remram44,1,2013-10-05 21:00:00,0,0,0
remram44,1,2013-10-12 21:00:00,0,0,0
remram44,1,2013-10-19 21:00:00,0,0,0
remram44,1,2013-10-26 22:00:00,0,0,0
remram44,1,2013-11-02 22:00:00,0,0,0
remram44,1,2013-11-09 22:00:00,0,0,0
